OGLE-BLG-RRLYR-00105  16.271 17.940  0.54808991 0.00000328  5000.20631  0.885  0.512 4.342  0.334 2.478
OGLE-BLG-RRLYR-00109  16.530 17.790  0.51324780 0.00000156  5000.03277  0.652  0.486 4.245  0.354 2.412
OGLE-BLG-RRLYR-00110  18.995 20.520  0.85182500 0.00000325  5000.42032  0.680  0.609 4.075  0.251 3.044
OGLE-BLG-RRLYR-00111  17.533 18.816  0.57679122 0.00000407  5000.27913  0.441  0.457 4.866  0.255 3.546
OGLE-BLG-RRLYR-00112  16.184 17.564  0.62533104 0.00000531  5000.25684  0.128  0.234 4.886  0.071 3.987
OGLE-BLG-RRLYR-00113  15.342 16.518  0.46311026 0.00000107  5000.35844  0.621  0.423 4.210  0.190 2.529
OGLE-BLG-RRLYR-00114  15.773 17.196  0.51974686 0.00000107  5000.06525  0.637  0.489 4.260  0.348 2.490
OGLE-BLG-RRLYR-00116  16.419 17.915  0.61378900 0.00000283  5000.41038  0.246  0.347 4.785  0.183 3.465
OGLE-BLG-RRLYR-00117  18.003 19.574  0.51385082 0.00000275  5000.03444  0.786  0.476 4.268  0.371 2.317
OGLE-BLG-RRLYR-00119  16.286 17.695  0.52032398 0.00000654  5000.20009  0.603  0.344 4.309  0.109 2.627
OGLE-BLG-RRLYR-00121  15.997 17.691  0.51356008 0.00000047  5000.20795  0.751  0.484 4.171  0.389 2.298
OGLE-BLG-RRLYR-00122  17.323    -    0.49179617 0.00000483  5000.15288  0.448  0.490 4.661  0.231 3.147
OGLE-BLG-RRLYR-00123  15.533    -    0.62320577 0.00000350  5000.25047  0.205  0.337 4.977  0.158 3.498
OGLE-BLG-RRLYR-00125  15.490 16.798  0.60484376 0.00000107  5000.49652  0.386  0.436 4.698  0.255 3.285
OGLE-BLG-RRLYR-00127  15.584 16.798  0.55013374 0.00000084  5000.28356  0.727  0.560 4.445  0.352 2.776
OGLE-BLG-RRLYR-00128  16.968 18.333  0.58341812 0.00000123  5000.32647  0.719  0.516 4.267  0.366 2.515
OGLE-BLG-RRLYR-00129  15.834 17.208  0.59939819 0.00000143  5000.06101  0.385  0.442 4.633  0.260 3.213
