OGLE-BLG-RRLYR-13198  17.126 18.360  0.32174734 0.00000010  5000.00807  0.265  0.099 4.900  0.075 3.976  0.43443827 0.00000223  5000.29350  0.025  0.000   -    0.000   -  
OGLE-BLG-RRLYR-13302  17.235 18.425  0.23775911 0.00000095  5000.22289  0.044  0.000   -    0.000   -    0.32182575 0.00000015  5000.18445  0.406  0.388 4.636  0.181 2.935
OGLE-BLG-RRLYR-13666  15.875 17.056  0.30495728 0.00000007  5000.01570  0.253  0.108 4.941  0.073 4.172  0.41343294 0.00000041  5000.19964  0.079  0.110 3.639  0.046 2.685
OGLE-BLG-RRLYR-13721  18.265 19.528  0.33938769 0.00000111  5000.20423  0.253  0.121 5.457  0.000   -    0.45712578 0.00000255  5000.14255  0.206  0.133 4.307  0.000   -  
OGLE-BLG-RRLYR-13804  16.289 18.102  0.29049656 0.00000127  5000.00992  0.015  0.000   -    0.000   -    0.39315385 0.00000011  5000.35488  0.233  0.310 4.649  0.124 2.934
OGLE-BLG-RRLYR-14029  15.384 16.516  0.31798613 0.00000073  5000.26738  0.246  0.104 5.332  0.057 3.698  0.42993905 0.00000473  5000.07217  0.092  0.135 4.318  0.070 2.403
OGLE-BLG-RRLYR-14031  15.827 17.495  0.42976293 0.00000013  5000.24362  0.231  0.168 5.218  0.067 3.748  0.57612416 0.00000110  5000.22828  0.049  0.080 4.773  0.000   -  
OGLE-BLG-RRLYR-14491  14.850 15.847  0.36284632 0.00000037  5000.30546  0.247  0.184 5.229  0.054 3.472  0.48720510 0.00000091  5000.28136  0.191  0.189 4.127  0.055 3.085
OGLE-BLG-RRLYR-14523  16.103 17.612  0.31999308 0.00000018  5000.18220  0.229  0.082 5.045  0.057 4.421  0.43270935 0.00000123  5000.03416  0.064  0.000   -    0.000   -  
OGLE-BLG-RRLYR-14747  17.012 17.980  0.35446171 0.00000196  5000.11292  0.251  0.218 5.297  0.053 3.972  0.47624688 0.00000446  5000.18115  0.230  0.196 4.242  0.000   -  
OGLE-BLG-RRLYR-14782  17.423 18.898  0.25378880 0.00000024  5000.13448  0.167  0.145 5.599  0.000   -    0.34929038 0.00000033  5000.18174  0.203  0.246 4.285  0.088 2.417
OGLE-BLG-RRLYR-14915  15.395 16.508  0.31699542 0.00000062  5000.00511  0.144  0.054 4.143  0.046 0.854  0.43338371 0.00000074  5000.33298  0.227  0.078 4.756  0.039 0.142
OGLE-BLG-RRLYR-14951  19.020 19.977  0.35776374 0.00000315  5000.31310  0.278  0.000   -    0.000   -    0.48085103 0.00001230  5000.35214  0.142  0.000   -    0.000   -  
OGLE-BLG-RRLYR-15012  16.094 17.183  0.25291996 0.00000053  5000.16555  0.081  0.090 5.164  0.000   -    0.34473815 0.00000013  5000.12105  0.446  0.370 4.546  0.176 2.721
OGLE-BLG-RRLYR-15089  18.122 19.581  0.40988475 0.00000069  5000.00973  0.195  0.172 5.012  0.108 3.445  0.54928498 0.00000282  5000.44661  0.097  0.303 4.383  0.000   -  
OGLE-BLG-RRLYR-15243  18.076 19.026  0.41518607 0.00000256  5000.40524  0.201  0.180 5.225  0.145 3.950  0.55672970 0.00001166  5000.45219  0.076  0.374 5.803  0.000   -  
OGLE-BLG-RRLYR-15770  15.362 16.197  0.32249367 0.00000062  5000.19006  0.246  0.112 5.021  0.059 4.233  0.43570665 0.00000420  5000.34649  0.066  0.136 4.408  0.000   -  
OGLE-BLG-RRLYR-15964  15.266 16.054  0.32474776 0.00000080  5000.28039  0.234  0.092 5.052  0.078 3.877  0.43884390 0.00000496  5000.37400  0.069  0.111 2.397  0.000   -  
OGLE-BLG-RRLYR-16162  15.534 16.518  0.35537263 0.00000152  5000.15833  0.257  0.172 5.067  0.070 3.515  0.47772951 0.00000455  5000.07401  0.189  0.144 4.132  0.000   -  
OGLE-BLG-RRLYR-16319  15.108 15.704  0.35846302 0.00000135  5000.13785  0.265  0.140 5.124  0.040 3.558  0.48211241 0.00000357  5000.12709  0.209  0.183 4.429  0.039 4.324
OGLE-BLG-RRLYR-16361  17.913 18.734  0.33524164 0.00000285  5000.22002  0.258  0.000   -    0.000   -    0.45253897 0.00002047  5000.33472  0.056  0.000   -    0.000   -  
OGLE-BLG-RRLYR-16386  16.243 17.407  0.40459822 0.00000274  5000.32538  0.235  0.189 5.223  0.079 3.814  0.54231612 0.00000790  5000.32725  0.153  0.224 4.150  0.085 1.939
OGLE-BLG-RRLYR-16403  18.123 19.246  0.35317929 0.00000430  5000.31191  0.243  0.229 4.844  0.148 2.475  0.47486123 0.00000906  5000.05657  0.210  0.319 3.893  0.000   -  
OGLE-BLG-RRLYR-16451  18.156 19.331  0.35155944 0.00000337  5000.21217  0.317  0.276 5.192  0.138 4.254  0.47292226 0.00000669  5000.05499  0.243  0.212 3.669  0.000   -  
OGLE-BLG-RRLYR-16665  15.575 16.696  0.32112679 0.00000097  5000.02956  0.253  0.126 4.897  0.083 4.052  0.43427162 0.00001527  5000.00337  0.029  0.000   -    0.000   -  
OGLE-BLG-RRLYR-16684  16.602 18.275  0.25767477 0.00000034  5000.02519  0.202  0.120 4.949  0.050 3.061  0.35484344 0.00000069  5000.09398  0.170  0.169 4.306  0.044 2.052
