object_id,catalog_type,region,file,sha256,n_observations,baseline_days,has_errors,candidate_rank,catalog_period,catalog_secondary_period
OGLE-GD-RRLYR-08033,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-08033.dat,aeea5a50dce52dc6b7b4a1ea2883cba8ac62d2e19e5d40f867b0f41489ead0a3,106,948.6467000000002,True,499,0.57378539,
OGLE-GD-RRLYR-08093,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-08093.dat,ddadf0db69e420322c8c967cbcdaf5f32f9982855cf103131ffa477ecb899601,122,2266.70396,True,325,0.35636402,
OGLE-GD-RRLYR-08104,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-08104.dat,aa83b94df1d5fa8805ec4485dde0dce0e437d2fdccbe3f346d42958f106ae6ca,123,2266.70396,True,469,0.70987415,
OGLE-GD-RRLYR-08135,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-08135.dat,c6211b54aca3d8e1effcdefa32ab49d7d8496b7c9db63477614a5ca413b19abd,121,2266.703819999999,True,430,0.53748849,
OGLE-GD-RRLYR-08142,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-08142.dat,2ff7bc2045e289472cc25f4d3d2378adeb3143c5fb343f570fe624a51c2a5f44,106,948.6467100000009,True,387,0.64216082,
OGLE-GD-RRLYR-08159,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-08159.dat,af14d71d4f552814e06d17c168bb66ef1af92a539ad5e152938d538aff819d2e,88,948.6467400000001,True,234,0.56389548,
OGLE-GD-RRLYR-08179,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-08179.dat,0d20f186197729acd6af5c1df955e5bfc926e23f39e0bb110c08a4256421d5ca,96,948.6469199999992,True,485,0.46451612,
OGLE-GD-RRLYR-08191,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-08191.dat,2cf088085835c02f91c51f0ebeecc7b3bd2da5e3ffcd69042c727bd17c16518c,104,948.6469199999992,True,458,0.65333188,
OGLE-GD-RRLYR-08196,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-08196.dat,9b68b52d0c5a08571daebea4de2c29c93a9ce5337326552727d883aa58f33099,104,948.6469199999992,True,33,0.61774678,
OGLE-GD-RRLYR-08215,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-08215.dat,ddc000d939f0a55f2bb0eea8bfb112ff8fce0146d9f375971d966a9adc338d58,106,2266.7036900000003,True,127,0.43171752,
OGLE-GD-RRLYR-08293,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-08293.dat,24729a3e2d402602240d075bc3df43835a206bd7fcb89dffb6c6faf0d28e936d,123,2266.70409,True,144,0.55466311,
OGLE-GD-RRLYR-08302,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-08302.dat,54d198799206e6b282d6e0b5dc0c9e41ddd1df66f5fcd4b1fb3f25f8dc49346e,119,2266.7001099999998,True,253,0.46086939,
OGLE-GD-RRLYR-08308,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-08308.dat,8cfe473f87a3762b15f6c105a922c9e1cabaff828b1bf35a03a72e0982fbf40c,121,2266.700250000001,True,211,0.59631458,
OGLE-GD-RRLYR-08328,RRc,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-08328.dat,64099fd7ad568d05cb6b2e48bac8993968cf5473453f1ee1e6d6f2b718c29ce8,103,948.647100000001,True,316,0.35253653,
OGLE-GD-RRLYR-08364,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-08364.dat,2915262d6689f956f415474f755d72cfa306f75d27cd152558c1f6138231048c,120,2266.7001099999998,True,205,0.56710402,
OGLE-GD-RRLYR-08366,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-08366.dat,f548f052e113afda5b02ca997f97ff3b48fdb7598845db7be361aeecef5f082f,119,2266.700250000001,True,317,0.52013174,
OGLE-GD-RRLYR-08392,RRc,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-08392.dat,db79424d08917e5c2f67f60680149304dd16f0257bf4f218bd82ac20112a785b,120,2266.700250000001,True,218,0.28990238,
OGLE-GD-RRLYR-08457,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-08457.dat,d88e5f89b992f3a2b3257d5d8a3362134a7ef684563616d50bb48e00af395681,102,948.6470800000006,True,433,0.60081022,
OGLE-GD-RRLYR-08462,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-08462.dat,71f48ed3ffeca515934381aea3b8cfc8919ed8a5d2537732895670f5d7c5406a,103,948.6470800000006,True,161,0.60327274,
OGLE-GD-RRLYR-08478,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-08478.dat,fdc95ec3371d2f4295d2e08d786de1b7d0f6e61ca60178052de58b16098d9493,102,948.6472599999997,True,312,0.54130947,
OGLE-GD-RRLYR-08495,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-08495.dat,6c9fa6f7df77b6004e89cf60a4a2eb3419f8c2b9797126a3e0642be880f59633,94,948.6472599999997,True,189,0.48264001,
OGLE-GD-RRLYR-08511,RRc,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-08511.dat,0c4fafa9e5804bb4d30abbb0ad81f3879eb275aef2b7212cea6130892aed5a12,103,948.64725,True,299,0.34098184,
OGLE-GD-RRLYR-08612,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-08612.dat,cd8af5476ed7938d8b30f48b2f63899b7f0a1326457b1e5d2bb88faf9efe6d77,103,948.6472599999997,True,482,0.68739655,
OGLE-GD-RRLYR-08642,RRd,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-08642.dat,6b643ee71232347e7227ec019bf8d950ca441379f1a8b4abc97db97a3c4825ac,103,948.6474600000001,True,126,0.32263326,0.43616029
OGLE-GD-RRLYR-08669,RRc,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-08669.dat,457ec87c4c8f992a89eaa349512b991d44d9bfa05dbce7cdd34450201a500893,102,948.6472699999995,True,113,0.38045056,
OGLE-GD-RRLYR-08736,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-08736.dat,ace7945f8108b26d59b70d5702415b9aa5d5bf927fa0fc59a53f6bdad53aff2c,103,948.6474500000004,True,108,0.45228523,
OGLE-GD-RRLYR-08741,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-08741.dat,8a5025c8c3d17175b74cfefe42e15c16bebce82a95ee8f2e637c751881867881,103,948.6474500000004,True,451,0.46457089,
OGLE-GD-RRLYR-08757,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-08757.dat,7789e097b111d0ceef947b07ceee4e57e72ab43c677e5611936b80944b91b6bf,128,2207.9370199999994,True,328,0.49280186,
OGLE-GD-RRLYR-08772,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-08772.dat,de839c030fb70d23a8abbb7d9c198e54b78fb5a8ef4662df45eeafd767814461,127,2207.9369399999996,True,140,0.57715936,
OGLE-GD-RRLYR-08795,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-08795.dat,9ad9b483685b17157e6776a82e0e3f3bc3c0684767896798d6392171acf5a896,128,2207.9370199999994,True,452,0.46252042,
OGLE-GD-RRLYR-08799,RRc,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-08799.dat,44855bdad1194057e195bbccfd031955d1130973de7315c4f20ab706926c8db6,127,2206.9452,True,176,0.39493573,
OGLE-GD-RRLYR-08805,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-08805.dat,2c72d67d0c048b9d928694b2360282922f3445b38d42074a1f9b0f4010b5a115,128,2207.9369399999996,True,48,0.58159498,
OGLE-GD-RRLYR-08811,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-08811.dat,c384e11734936b6638e4578d4aef37c7f4c2bfbe2246b1ae728cb1739b67d1ec,124,2207.937099999999,True,401,0.40248235,
OGLE-GD-RRLYR-08812,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-08812.dat,f0608b754b3cbafa59980a597cdd188a7ae2b5b2873e2d338694b9079c9d8165,124,2231.7369400000007,True,186,0.37038142,
OGLE-GD-RRLYR-08848,RRc,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-08848.dat,1fcd00f1d0b44b95085a414851e0ddd8a8686c4e0f76727cfb89fcc6317311ec,128,2207.9369100000004,True,3,0.31577413,
OGLE-GD-RRLYR-08853,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-08853.dat,4ae10e99c7df22b2447bf8e1504977e84772d20ec1e56dfae0364caa8da0d7c3,127,2207.9368400000003,True,151,0.52226314,
OGLE-GD-RRLYR-08901,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-08901.dat,1af9683ab2f4aa275eb0eef4849868c13082116b87a573aaef26e0f8cd11ee56,126,2206.74216,True,384,0.52631544,
OGLE-GD-RRLYR-08952,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-08952.dat,10e24e66c1bb703ca5c74385d22115788e6692dba33d46aed61f15f677919bde,125,2206.7420199999997,True,30,0.53601181,
OGLE-GD-RRLYR-08973,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-08973.dat,7852310756a0c4e1bed712bd652d2ad1a5b81a308083a1ad85fd6c27d1772df9,124,2207.9366600000003,True,88,0.52056469,
OGLE-GD-RRLYR-09033,RRd,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-09033.dat,9b5e27f9ceccb3d8531b8267b4ed693185be4f6b8ba64691e0085c2b6c766817,125,2206.7420199999997,True,311,0.42650109,0.57170502
OGLE-GD-RRLYR-09038,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-09038.dat,6792c57c56808798855c101d71ef602003dc79ca2fe916d40809f30e6a00ed23,122,2206.7418100000004,True,154,0.49323843,
OGLE-GD-RRLYR-09040,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-09040.dat,a5019838b03887f7ea34f1fdbcbd1b6cda265576db03a4fd97760e21a9b2bc80,124,2207.7357500000007,True,226,0.51154378,
OGLE-GD-RRLYR-09053,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-09053.dat,9c8e9e4d113871582fa467bb36a7ba67089181298f328a738d85b84a811935e1,56,2204.9493900000007,True,177,0.40226674,
OGLE-GD-RRLYR-09063,RRc,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-09063.dat,40e5dde25aa5979267d2e4b4687bf392445b0a4fcda0d30fb6578bb84e4c3404,124,2206.7420199999997,True,227,0.33051366,
OGLE-GD-RRLYR-09119,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-09119.dat,5da49aac79df7b4dc9c26ddeaa4c1350e51dae4547a5ef5105a61a1bb447b6a1,125,2207.936710000001,True,349,0.5359148,
