representation,model,replicate,ari_stability_all,ari_stability_common_assigned,common_assigned_fraction,coverage,catalog_ari_subset
Classical shape,Average linkage,3,0.9996773593414279,0.9996773593414279,1.0,1.0,0.0879306737469483
Classical shape,DBSCAN,3,0.9460541915038139,,0.7775061124694377,0.7799511002444988,0.2560825748692368
Classical shape,HDBSCAN,3,0.800086087432121,0.9023654867407802,0.5916870415647921,0.6381418092909535,0.38583600850523997
Classical full,K-medoids,3,0.4203930820573883,0.4203930820573883,1.0,1.0,0.3777343281293664
Classical full,K-means,3,0.9837650878344607,0.9837650878344607,1.0,1.0,0.413679198625954
Classical full,Average linkage,3,0.9993549107352627,0.9993549107352627,1.0,1.0,0.08794271362440334
Classical full,DBSCAN,3,0.9695995352638472,1.0,0.7726161369193154,0.7799511002444988,0.6404845388625497
Classical full,HDBSCAN,3,0.8850092990514609,0.9754775418960908,0.80440097799511,0.8899755501222494,0.8023892127879683
JDR,K-medoids,4,0.5068619697566188,0.5068619697566188,1.0,1.0,0.2663274135350189
JDR,K-means,4,0.9055728575499414,0.9055728575499414,1.0,1.0,0.2761769511728179
JDR,Average linkage,4,0.9259194433349971,0.9259194433349971,1.0,1.0,0.04469346665511167
JDR,DBSCAN,4,0.6626387137293015,0.42472315485785767,0.7775061124694377,0.7921760391198044,0.31504826041427897
JDR,HDBSCAN,4,0.4010105335939322,0.6979837420384767,0.4229828850855746,0.6014669926650367,0.01594185200552294
Classical shape,K-medoids,4,0.5767560325029695,0.5767560325029695,1.0,1.0,0.5102233818690112
Classical shape,K-means,4,0.9351662197367379,0.9351662197367379,1.0,1.0,0.325479633127243
Classical shape,Average linkage,4,1.0,1.0,1.0,1.0,0.11346104038021737
Classical shape,DBSCAN,4,0.8948615620595209,,0.7628361858190709,0.784841075794621,0.23529401754141954
Classical shape,HDBSCAN,4,0.00509068577841481,,0.5721271393643031,0.9926650366748166,0.0977655205138206
Classical full,K-medoids,4,0.43733650147956665,0.43733650147956665,1.0,1.0,0.5958092976583811
Classical full,K-means,4,0.9673868288454236,0.9673868288454236,1.0,1.0,0.4009382035479588
Classical full,Average linkage,4,0.9576432962400274,0.9576432962400274,1.0,1.0,0.10579483904694585
Classical full,DBSCAN,4,0.9363177980445604,0.9987399979485407,0.7432762836185819,0.7677261613691931,0.600908576062592
Classical full,HDBSCAN,4,0.9316338902349015,0.9966604278967122,0.7652811735941321,0.7750611246943765,0.6733286305984588
JDR,K-medoids,5,0.47314313107270706,0.47314313107270706,1.0,1.0,0.2673851432412968
JDR,K-means,5,0.8587711095503966,0.8587711095503966,1.0,1.0,0.2752845772393616
JDR,Average linkage,5,0.33300731680493784,0.33300731680493784,1.0,1.0,0.030839915563143278
JDR,DBSCAN,5,0.7068523501989491,0.3622922954781326,0.784841075794621,0.7921760391198044,0.14859864391830716
JDR,HDBSCAN,5,0.4476917162275079,0.9102759258393089,0.4156479217603912,0.5623471882640587,0.01160263398601613
Classical shape,K-medoids,5,0.8168554817996145,0.8168554817996145,1.0,1.0,0.33253125101493675
Classical shape,K-means,5,0.9920589123169948,0.9920589123169948,1.0,1.0,0.3596838897099911
Classical shape,Average linkage,5,0.9450361159730298,0.9450361159730298,1.0,1.0,0.08777651758741026
Classical shape,DBSCAN,5,0.9151402766788016,,0.7677261613691931,0.7799511002444988,0.258096833280458
Classical shape,HDBSCAN,5,0.5756677998651919,0.8043367289343423,0.4621026894865526,0.4621026894865526,0.10145553086050484
Classical full,K-medoids,5,0.4731225648273839,0.4731225648273839,1.0,1.0,0.6147862460741454
Classical full,K-means,5,0.9727363327492168,0.9727363327492168,1.0,1.0,0.44153916461444026
Classical full,Average linkage,5,1.0,1.0,1.0,1.0,0.09610683823379629
Classical full,DBSCAN,5,0.9819710365183868,0.9975643930590533,0.78239608801956,0.78239608801956,0.6403415809159827
Classical full,HDBSCAN,5,0.9561343590240332,0.9975899422316016,0.7726161369193154,0.7799511002444988,0.7193376202486766
JDR,K-medoids,6,0.8269839984553856,0.8269839984553856,1.0,1.0,0.21604070728679534
JDR,K-means,6,0.4499053348652863,0.4499053348652863,1.0,1.0,0.20948071636502177
JDR,Average linkage,6,0.7425052867818639,0.7425052867818639,1.0,1.0,0.17589533619212006
JDR,DBSCAN,6,0.7071061093869038,0.2679766652633508,0.7726161369193154,0.7775061124694377,0.1865890252786224
JDR,HDBSCAN,6,0.6297856245785578,0.898504119876265,0.43031784841075793,0.5158924205378973,0.009509915368964922
Classical shape,K-medoids,6,0.7403750555232821,0.7403750555232821,1.0,1.0,0.3175212219005139
Classical shape,K-means,6,0.9225454087786953,0.9225454087786953,1.0,1.0,0.40294599252462554
Classical shape,Average linkage,6,1.0,1.0,1.0,1.0,0.10865890705886823
Classical shape,DBSCAN,6,0.924849749946402,,0.7750611246943765,0.7799511002444988,0.2689876054454651
Classical shape,HDBSCAN,6,0.008725182684186287,,0.5990220048899756,0.9951100244498777,0.0776040543014894
Classical full,K-medoids,6,0.5808151013211413,0.5808151013211413,1.0,1.0,0.34816647121060984
Classical full,K-means,6,0.9407216721307867,0.9407216721307867,1.0,1.0,0.4752663747298072
Classical full,Average linkage,6,0.9499867646490741,0.9499867646490741,1.0,1.0,0.09962514824541382
Classical full,DBSCAN,6,0.9511558308026117,1.0,0.7652811735941321,0.7652811735941321,0.6212714789760634
Classical full,HDBSCAN,6,0.9242210959805114,0.9728707996084229,0.7970660146699267,0.8533007334963325,0.7657780563494879
