representation,model,replicate,ari_stability_all,ari_stability_common_assigned,common_assigned_fraction,coverage,catalog_ari_subset
JDR,K-means,18,1.0,1.0,1.0,1.0,0.24137082658815637
JDR,Average linkage,18,0.8336466537951434,0.8336466537951434,1.0,1.0,-0.013781062475746363
JDR,DBSCAN,18,0.6636975585559767,0.20902458441413335,0.7677261613691931,0.7775061124694377,0.2126694409674072
JDR,HDBSCAN,18,0.5964403583605651,0.7186983166836654,0.4034229828850856,0.46943765281173594,-0.030302421120281475
Classical shape,K-medoids,18,0.775769416501564,0.775769416501564,1.0,1.0,0.35219646443296054
Classical shape,K-means,18,0.9952476222718822,0.9952476222718822,1.0,1.0,0.34719369779362025
Classical shape,Average linkage,18,1.0,1.0,1.0,1.0,0.13364224353105655
Classical shape,DBSCAN,18,0.8342681051284326,,0.7555012224938875,0.7726161369193154,0.32155186136357927
Classical shape,HDBSCAN,18,0.010058208450803506,,0.5941320293398533,0.9902200488997555,0.11349758636462026
Classical full,K-medoids,18,0.7645957631457585,0.7645957631457585,1.0,1.0,0.34837520118059717
Classical full,K-means,18,0.7789073829998622,0.7789073829998622,1.0,1.0,0.5009023774234007
Classical full,Average linkage,18,1.0,1.0,1.0,1.0,0.13364224353105655
Classical full,DBSCAN,18,0.9498239595143889,1.0,0.7677261613691931,0.7701711491442543,0.6032085852708648
Classical full,HDBSCAN,18,0.9576061241088225,1.0,0.8092909535452323,0.8264058679706602,0.7568855680636614
JDR,K-medoids,19,0.6365401758640219,0.6365401758640219,1.0,1.0,0.1871529078334845
JDR,K-means,19,0.9792815886196587,0.9792815886196587,1.0,1.0,0.2094392291832365
JDR,Average linkage,19,0.723839270272067,0.723839270272067,1.0,1.0,-0.03651319410666588
JDR,DBSCAN,19,0.7699315393426379,0.5887443148167449,0.7897310513447433,0.80440097799511,0.28484968904977287
JDR,HDBSCAN,19,-0.025204541128155962,0.02693707524429105,0.4889975550122249,0.8850855745721271,0.07456462294951777
Classical shape,K-medoids,19,0.9392620513428186,0.9392620513428186,1.0,1.0,0.31433424617230593
Classical shape,K-means,19,0.8292842754032519,0.8292842754032519,1.0,1.0,0.24827848544683861
Classical shape,Average linkage,19,0.944130087091213,0.944130087091213,1.0,1.0,0.09221482780315005
Classical shape,DBSCAN,19,0.8852320937974448,,0.7579462102689487,0.7799511002444988,0.28729306486027056
Classical shape,HDBSCAN,19,0.0062544543672957125,,0.5770171149144254,0.9951100244498777,0.0792753670728145
Classical full,K-medoids,19,0.40656590539902354,0.40656590539902354,1.0,1.0,0.6444675984443334
Classical full,K-means,19,0.9647794885017865,0.9647794885017865,1.0,1.0,0.41650161894805066
Classical full,Average linkage,19,0.791091485808996,0.791091485808996,1.0,1.0,0.07136465222157082
Classical full,DBSCAN,19,0.9138641265699561,1.0,0.7530562347188264,0.7946210268948656,0.648261240928582
Classical full,HDBSCAN,19,0.9116238613124081,0.9739611461496482,0.7897310513447433,0.8533007334963325,0.7461471357168726
JDR,K-medoids,20,0.3580744837488693,0.3580744837488693,1.0,1.0,0.17509195487072937
JDR,K-means,20,0.9019651256105582,0.9019651256105582,1.0,1.0,0.25745053527817574
JDR,Average linkage,20,0.9508004890098718,0.9508004890098718,1.0,1.0,0.019949908801350284
JDR,DBSCAN,20,0.7704478591918572,0.6649082982141129,0.7726161369193154,0.7872860635696821,0.3239929898960345
JDR,HDBSCAN,20,0.5185546176597292,0.857561796080115,0.4180929095354523,0.530562347188264,-0.013461328014807445
Classical shape,K-medoids,20,0.818986383493725,0.818986383493725,1.0,1.0,0.39419115338318583
Classical shape,K-means,20,0.9158129350438465,0.9158129350438465,1.0,1.0,0.39068833155874483
Classical shape,Average linkage,20,0.8831090280054491,0.8831090280054491,1.0,1.0,0.10172351313732979
Classical shape,DBSCAN,20,0.8623004034855334,,0.7628361858190709,0.784841075794621,0.35144025615978486
Classical shape,HDBSCAN,20,0.7581655189029655,0.9123288456510812,0.5770171149144254,0.6479217603911981,0.39259325270332934
Classical full,K-medoids,20,0.435120345820837,0.435120345820837,1.0,1.0,0.6734283978385951
Classical full,K-means,20,0.9649489439313444,0.9649489439313444,1.0,1.0,0.4316280067255928
Classical full,Average linkage,20,0.9383106886275459,0.9383106886275459,1.0,1.0,0.09195736429919973
Classical full,DBSCAN,20,0.945410947273077,1.0,0.7555012224938875,0.7652811735941321,0.6030908039986295
Classical full,HDBSCAN,20,0.9229621768092948,0.9913406867723862,0.7897310513447433,0.8459657701711492,0.7753592853746983
JDR,K-medoids,21,0.7901952439045373,0.7901952439045373,1.0,1.0,0.20508567088248447
JDR,K-means,21,0.5528155258164121,0.5528155258164121,1.0,1.0,0.23386375775607268
JDR,Average linkage,21,0.8215840656903195,0.8215840656903195,1.0,1.0,-0.04652707310140573
JDR,DBSCAN,21,0.6117864872885743,0.1110978303100402,0.7799511002444988,0.7872860635696821,0.1706212315717163
JDR,HDBSCAN,21,0.602321306944489,0.8640372269401382,0.44987775061124696,0.5599022004889975,-0.001674376189401421
Classical shape,K-medoids,21,0.9920547669530471,0.9920547669530471,1.0,1.0,0.29791435962546237
Classical shape,K-means,21,0.938133989609427,0.938133989609427,1.0,1.0,0.3757226542257138
Classical shape,Average linkage,21,0.9984523461632385,0.9984523461632385,1.0,1.0,0.11244552349103612
Classical shape,DBSCAN,21,0.8835930347410552,,0.7677261613691931,0.7946210268948656,0.2927746909523763
Classical shape,HDBSCAN,21,0.006735553135256996,,0.5794621026894865,0.9902200488997555,0.0829698897755043
Classical full,K-medoids,21,0.5479383484101227,0.5479383484101227,1.0,1.0,0.34632670506330127
Classical full,K-means,21,0.9358928456487532,0.9358928456487532,1.0,1.0,0.41555003748125935
Classical full,Average linkage,21,0.9541188879507858,0.9541188879507858,1.0,1.0,0.10404367731103692
Classical full,DBSCAN,21,0.927800158435568,1.0,0.7481662591687042,0.7726161369193154,0.6361480795268413
Classical full,HDBSCAN,21,0.8909714173067433,0.9749020491151708,0.7750611246943765,0.843520782396088,0.7292595445106916
JDR,K-medoids,22,0.49542306732349833,0.49542306732349833,1.0,1.0,0.2774986493784496
JDR,K-means,22,0.9096478446699224,0.9096478446699224,1.0,1.0,0.27421399146557157
JDR,Average linkage,22,0.8710613375045373,0.8710613375045373,1.0,1.0,0.08137489749709545
JDR,DBSCAN,22,0.6732566848019985,0.30390937801692847,0.7628361858190709,0.7701711491442543,0.3945604503108844
JDR,HDBSCAN,22,0.5494991514074358,0.8016459949633135,0.44254278728606355,0.5770171149144254,0.011878123690397766
Classical shape,K-medoids,22,0.7355575121898097,0.7355575121898097,1.0,1.0,0.3723820237779113
Classical shape,K-means,22,0.8610292366373627,0.8610292366373627,1.0,1.0,0.2645703179903745
Classical shape,Average linkage,22,1.0,1.0,1.0,1.0,0.1022303696511113
Classical shape,DBSCAN,22,0.9352947085771909,,0.7775061124694377,0.7872860635696821,0.2874595104364842
Classical shape,HDBSCAN,22,0.5279625823670432,0.8231550546575261,0.45965770171149145,0.46454767726161367,0.10625578963207835
Classical full,K-medoids,22,0.6760718137831241,0.6760718137831241,1.0,1.0,0.29231692160540934
Classical full,K-means,22,0.9082180599210009,0.9082180599210009,1.0,1.0,0.409305977834626
Classical full,Average linkage,22,1.0,1.0,1.0,1.0,0.1022303696511113
Classical full,DBSCAN,22,0.9704034177125513,1.0,0.7799511002444988,0.7872860635696821,0.6584812968509156
Classical full,HDBSCAN,22,0.9136814510600967,0.9696064680786658,0.784841075794621,0.8459657701711492,0.7771817857006738
JDR,K-medoids,23,0.6609100982624847,0.6609100982624847,1.0,1.0,0.2303529477523135
JDR,K-means,23,0.6051096111027995,0.6051096111027995,1.0,1.0,0.22620633168026932
JDR,Average linkage,23,0.8500965442107948,0.8500965442107948,1.0,1.0,-0.024166802609461215
JDR,DBSCAN,23,0.9475608831217895,0.9980316810164235,0.7750611246943765,0.784841075794621,0.2083089240632386
JDR,HDBSCAN,23,0.6425244536056925,0.7757231688810169,0.4400977995110024,0.5061124694376528,-0.04482175638324702
Classical shape,K-medoids,23,0.9764105355282282,0.9764105355282282,1.0,1.0,0.30640990303116755
Classical shape,K-means,23,0.8817739637148047,0.8817739637148047,1.0,1.0,0.40389672154436973
Classical shape,Average linkage,23,1.0,1.0,1.0,1.0,0.10223912003988839
Classical shape,DBSCAN,23,0.8856872260467136,,0.7726161369193154,0.7799511002444988,0.291817626590788
Classical shape,HDBSCAN,23,0.010340872382719482,,0.5990220048899756,0.9902200488997555,0.08941594390812613
Classical full,K-medoids,23,0.6595323983046548,0.6595323983046548,1.0,1.0,0.36950651228581743
Classical full,K-means,23,0.9583681238771649,0.9583681238771649,1.0,1.0,0.4483435384008254
Classical full,Average linkage,23,1.0,1.0,1.0,1.0,0.10223912003988839
Classical full,DBSCAN,23,0.9640932554712216,1.0,0.7750611246943765,0.7970660146699267,0.6561987055827004
Classical full,HDBSCAN,23,0.9241083448832752,0.9700542611132116,0.7995110024449877,0.863080684596577,0.7686979204787913
JDR,K-medoids,24,0.6209253943877684,0.6209253943877684,1.0,1.0,0.2074225987628859
JDR,K-means,24,0.9652850015653323,0.9652850015653323,1.0,1.0,0.20575743374273714
JDR,Average linkage,24,0.8793931859020422,0.8793931859020422,1.0,1.0,0.021730331053303107
JDR,DBSCAN,24,0.8258386025657378,0.6879067251540906,0.7799511002444988,0.7872860635696821,0.26460988599173724
JDR,HDBSCAN,24,0.49889115729654565,0.7785389619420136,0.4058679706601467,0.5256723716381418,-0.0013718243704067374
Classical shape,K-medoids,24,0.9347895861010938,0.9347895861010938,1.0,1.0,0.27661406770081387
Classical shape,K-means,24,1.0,1.0,1.0,1.0,0.31250764065668424
Classical shape,Average linkage,24,0.9533472386729077,0.9533472386729077,1.0,1.0,0.1130882593093
Classical shape,DBSCAN,24,0.8532293158505746,,0.7628361858190709,0.7921760391198044,0.26672159232364273
Classical shape,HDBSCAN,24,0.005640467347570118,,0.5721271393643031,0.9902200488997555,0.10013835278356666
Classical full,K-medoids,24,0.4185907110135788,0.4185907110135788,1.0,1.0,0.32064320740673924
Classical full,K-means,24,1.0,1.0,1.0,1.0,0.3964478153261944
Classical full,Average linkage,24,0.9533472386729077,0.9533472386729077,1.0,1.0,0.1130882593093
Classical full,DBSCAN,24,0.9687797198418652,1.0,0.7579462102689487,0.7677261613691931,0.6253360701548388
Classical full,HDBSCAN,24,0.906965271289258,0.9735623404637842,0.7897310513447433,0.8581907090464548,0.7452112095326634
JDR,K-medoids,25,0.6504099005020307,0.6504099005020307,1.0,1.0,0.21635718729775594
JDR,K-means,25,0.41063849481649645,0.41063849481649645,1.0,1.0,0.22617747012943937
JDR,Average linkage,25,0.9490876580506943,0.9490876580506943,1.0,1.0,0.025945666034739953
JDR,DBSCAN,25,0.7693075395853936,0.5761919304123806,0.7946210268948656,0.8068459657701712,0.13117185572071297
JDR,HDBSCAN,25,0.5105199972863861,0.8985451457541245,0.4352078239608802,0.5721271393643031,-0.0088821935730694
Classical shape,K-medoids,25,0.9792383613356549,0.9792383613356549,1.0,1.0,0.3073463998283009
Classical shape,K-means,25,0.9399002957627678,0.9399002957627678,1.0,1.0,0.29686941121382915
Classical shape,Average linkage,25,0.9576432962400274,0.9576432962400274,1.0,1.0,0.11979768985693873
Classical shape,DBSCAN,25,0.884411916158881,,0.7628361858190709,0.78239608801956,0.3275224791114515
Classical shape,HDBSCAN,25,0.699033352943598,0.7981018218690367,0.5599022004889975,0.6454767726161369,0.42483622001790855
Classical full,K-medoids,25,0.46422488388291583,0.46422488388291583,1.0,1.0,0.3415445964693997
Classical full,K-means,25,0.9655938949111093,0.9655938949111093,1.0,1.0,0.4397914470775519
Classical full,Average linkage,25,1.0,1.0,1.0,1.0,0.12865999118067223
Classical full,DBSCAN,25,0.9458789531874084,0.9977326986073091,0.7652811735941321,0.7946210268948656,0.6752161072752673
Classical full,HDBSCAN,25,0.9673855416099223,0.9929364494606875,0.7995110024449877,0.823960880195599,0.7554176359581952
JDR,K-medoids,26,0.6186609980483672,0.6186609980483672,1.0,1.0,0.23011294258283188
JDR,K-means,26,1.0,1.0,1.0,1.0,0.2361771429571931
JDR,Average linkage,26,0.4188756579360824,0.4188756579360824,1.0,1.0,-0.12583963802872317
JDR,DBSCAN,26,0.8748397342181427,0.8244618302868351,0.7750611246943765,0.7799511002444988,0.2717712947198913
JDR,HDBSCAN,26,0.5586131828654716,0.9051234010758172,0.4449877750611247,0.5476772616136919,0.013342546587964531
Classical shape,K-medoids,26,0.7635879944109637,0.7635879944109637,1.0,1.0,0.3940348106220479
Classical shape,K-means,26,0.984040505542419,0.984040505542419,1.0,1.0,0.34872784448114835
Classical shape,Average linkage,26,1.0,1.0,1.0,1.0,0.11990871310223807
Classical shape,DBSCAN,26,0.8952101294423446,,0.7603911980440098,0.7775061124694377,0.2939021369443306
Classical shape,HDBSCAN,26,0.009923115413849694,,0.589242053789731,0.9902200488997555,0.09815408486821307
Classical full,K-medoids,26,0.4717223835457844,0.4717223835457844,1.0,1.0,0.6866573547078894
Classical full,K-means,26,0.9586108177942904,0.9586108177942904,1.0,1.0,0.4623463963175006
Classical full,Average linkage,26,1.0,1.0,1.0,1.0,0.11990871310223807
Classical full,DBSCAN,26,0.9474322071923827,0.9965108547746525,0.7652811735941321,0.7872860635696821,0.6594780182083956
Classical full,HDBSCAN,26,0.9590240276657905,0.9968308444790572,0.7897310513447433,0.8068459657701712,0.7685447541921449
JDR,K-medoids,27,0.5998828885255414,0.5998828885255414,1.0,1.0,0.2242413085446575
JDR,K-means,27,0.9080668134818483,0.9080668134818483,1.0,1.0,0.24942381972397576
JDR,Average linkage,27,0.41428034637858857,0.41428034637858857,1.0,1.0,-0.11527068906016598
JDR,DBSCAN,27,0.7705075940806879,0.547993937724171,0.784841075794621,0.7921760391198044,0.2005576267939897
JDR,HDBSCAN,27,0.6449926402069031,0.8976686630665245,0.44254278728606355,0.508557457212714,-0.004787703678917512
Classical shape,K-medoids,27,0.9832693555090614,0.9832693555090614,1.0,1.0,0.2915731180364704
Classical shape,K-means,27,0.8423609983017475,0.8423609983017475,1.0,1.0,0.25111918152822493
Classical shape,Average linkage,27,1.0,1.0,1.0,1.0,0.09897672714607753
Classical shape,DBSCAN,27,0.9569858251944684,,0.7750611246943765,0.7799511002444988,0.25930334337676303
Classical shape,HDBSCAN,27,0.5582251001473559,0.798121986202434,0.4621026894865526,0.4621026894865526,0.1056049763019845
Classical full,K-medoids,27,0.74929838637694,0.74929838637694,1.0,1.0,0.2837967305667146
Classical full,K-means,27,0.9312724577300482,0.9312724577300482,1.0,1.0,0.43117579055213673
Classical full,Average linkage,27,1.0,1.0,1.0,1.0,0.09897672714607753
Classical full,DBSCAN,27,0.9482283474812063,1.0,0.7579462102689487,0.7701711491442543,0.6284495691085628
Classical full,HDBSCAN,27,0.9230568439770173,0.9910815899664139,0.7750611246943765,0.8166259168704156,0.7115619525941164
JDR,K-medoids,28,0.6250695052516178,0.6250695052516178,1.0,1.0,0.2029393588554512
JDR,K-means,28,0.9596453100779279,0.9596453100779279,1.0,1.0,0.20775590765092786
JDR,Average linkage,28,0.773652714740686,0.773652714740686,1.0,1.0,-0.029262960841177278
JDR,DBSCAN,28,0.6798581399940647,0.16917333448072336,0.7701711491442543,0.7701711491442543,0.14721110391841463
JDR,HDBSCAN,28,0.57498439024496,0.8929515849019846,0.38875305623471884,0.4572127139364303,-0.07777775684085399
Classical shape,K-medoids,28,0.8521279207565143,0.8521279207565143,1.0,1.0,0.3581855954793505
Classical shape,K-means,28,0.9520099518140037,0.9520099518140037,1.0,1.0,0.3053259483344872
Classical shape,Average linkage,28,1.0,1.0,1.0,1.0,0.09843543317150805
Classical shape,DBSCAN,28,0.8796782034573005,,0.7750611246943765,0.7897310513447433,0.28715449844733065
Classical shape,HDBSCAN,28,0.5508915786168794,0.8334272672789927,0.4621026894865526,0.4621026894865526,0.09692037960181189
Classical full,K-medoids,28,0.6987269218143741,0.6987269218143741,1.0,1.0,0.3698322703220961
Classical full,K-means,28,0.9563557819453234,0.9563557819453234,1.0,1.0,0.3967418352255051
Classical full,Average linkage,28,1.0,1.0,1.0,1.0,0.09843543317150805
Classical full,DBSCAN,28,0.9837782926244254,1.0,0.7726161369193154,0.7775061124694377,0.6290350371038914
Classical full,HDBSCAN,28,0.8947919838909023,0.9732742994715613,0.8141809290953546,0.8924205378973105,0.8152743746787507
JDR,K-medoids,29,0.9853720551201289,0.9853720551201289,1.0,1.0,0.23236280421131614
JDR,K-means,29,0.5727296532189287,0.5727296532189287,1.0,1.0,0.22532255381680577
JDR,Average linkage,29,0.8829110089393505,0.8829110089393505,1.0,1.0,0.04908094185742153
JDR,DBSCAN,29,0.7591881006513742,0.4531790474956403,0.7701711491442543,0.7750611246943765,0.14709633737387978
JDR,HDBSCAN,29,0.7375731327178701,0.8673306572444485,0.45965770171149145,0.5012224938875306,-0.029204043322328895
Classical shape,K-medoids,29,0.509627770220934,0.509627770220934,1.0,1.0,0.19583629653184434
Classical shape,K-means,29,0.9277740773691365,0.9277740773691365,1.0,1.0,0.37881183088191633
Classical shape,Average linkage,29,0.9495092155847975,0.9495092155847975,1.0,1.0,0.09414160728222294
Classical shape,DBSCAN,29,0.9049619781467831,,0.7652811735941321,0.784841075794621,0.2706561805321463
Classical shape,HDBSCAN,29,0.005074875017114837,,0.5819070904645477,0.9951100244498777,0.06760754494183507
Classical full,K-medoids,29,0.4636951330279933,0.4636951330279933,1.0,1.0,0.49184745900198973
Classical full,K-means,29,0.9586379077356209,0.9586379077356209,1.0,1.0,0.44950409067459046
Classical full,Average linkage,29,0.94498131095198,0.94498131095198,1.0,1.0,0.08933521005567545
Classical full,DBSCAN,29,0.9640959742827324,0.9958037664696819,0.7726161369193154,0.7946210268948656,0.6430873657865731
Classical full,HDBSCAN,29,0.9634676042227257,0.9956673032270151,0.7921760391198044,0.8141809290953546,0.733985462544365
