skewness,excess_kurtosis,bowley_skewness,tail_ratio,phase_eta,R21,R31,R41,cos_phi21,sin_phi21,cos_phi31,sin_phi31,residual_fraction,log10_period,log10_std_mag,log10_q95_q05_amplitude,object_id
-0.5111305115269651,-0.7043746615014377,-0.04424778761060456,1.770973451327432,0.2909887413280981,0.3552883314088242,0.13775080256714298,0.01909081344747911,-0.6236703080838903,-0.7816874994616105,-0.288213590393752,0.9575661472255285,0.13586957514092576,-0.39314524325554845,-0.7602258949239926,-0.300769497116593,OGLE-GD-RRLYR-00505
-0.2908542477229061,-0.8899885816194559,-0.32575142160844495,2.1445978878960115,0.025082922601029487,0.5786983302377205,0.33687622728432515,0.21110581005573162,-0.29082393574159593,-0.956776587506074,-0.9356764577169784,0.35285913120423495,0.02199552922303257,-0.38002716418829435,-0.7029584283349954,-0.1804560644581324,OGLE-GD-RRLYR-00542
-0.2418354057480931,-0.9306629066335175,-0.36588628762543746,1.9705685618729212,0.277596985493844,0.5189437275833513,0.34917117308523377,0.22570911041351988,-0.5940748747383598,-0.8044097483276804,-0.6442589032014799,0.7648074696586233,0.14250713166286053,-0.1985182131861861,-0.6336887238872531,-0.13282724882135058,OGLE-GD-RRLYR-00552
-0.5690125777525428,-0.26300362620134177,-0.024154589371975784,2.1999999999999966,0.3964988209020246,0.30354530485573517,0.13152750746080258,0.07887004496516573,-0.40359878553455536,-0.9149360744418333,-0.6775429318472266,0.7354832258480573,0.1616501350873034,-0.25291520142749185,-0.857721525813484,-0.3416069737208751,OGLE-GD-RRLYR-00558
-0.35538851083970535,-0.5709268831348742,-0.19678714859438268,2.1195180722891642,0.7419583339310534,0.34981541460135845,0.14860245087828564,0.07757532818419985,-0.6889891933817495,-0.7247716132708056,0.08038656594899597,0.9967637633937781,0.33203487727679876,-0.31288925967786246,-0.689011420213807,-0.18065351591954898,OGLE-GD-RRLYR-00577
-0.2658507434618696,-0.8831774627767164,-0.1926605504587223,2.255412844036688,0.24320706842008893,0.4502144388320408,0.35674963464980075,0.23121578268575413,-0.5083104561767146,-0.8611738965745654,-0.6388545506161643,0.7693275395805215,0.12499769091349687,-0.25954745242977806,-0.7250457004478489,-0.21140744407964104,OGLE-GD-RRLYR-00578
0.08867020344917648,-1.2011186320485385,0.05936073059361464,1.8219178082191643,0.024101554373682114,0.4972069044180512,0.2657006099238304,0.11959231410477049,-0.03543828862813172,-0.999371866573754,-0.996017992696066,-0.08915244374496718,0.011489366420558061,-0.37485021351868497,-0.8839294625356979,-0.3990271043132527,OGLE-GD-RRLYR-00580
0.012074839351041354,-1.3355051909307072,0.23259762308998433,1.611205432937182,0.06490784096888823,0.04729717021367422,0.05594258172372582,0.06511217598163399,-0.04695525320345649,-0.9988969937869466,0.26528112729524184,-0.9641711069623304,0.029606242645359937,-0.5412513180602797,-1.09386430627004,-0.6247937789006706,OGLE-GD-RRLYR-00582
0.06555207523405845,-0.5340849720763701,-0.03599755948749063,2.1513117754728426,0.4617658673854295,0.5002820439371364,0.4180636518223645,0.30700000604195193,-0.5121805296477059,-0.8588778172998739,-0.7484472395668971,0.66319433772062,0.22587691648070052,-0.29112581747351374,-0.5557476590515745,-0.05477768336465789,OGLE-GD-RRLYR-00607
-0.11805440221263741,-0.3903942417530759,-0.24873096446699,2.564467005076136,0.5268811879580215,0.5896282713570811,0.4227911635808109,0.30170543184709303,-0.46088741553479734,-0.8874586132331215,-0.446757796083618,0.894654945573157,0.24153356920333027,-0.2846824055968138,-0.6382407915193459,-0.12044539906102586,OGLE-GD-RRLYR-00620
