object_id,fourier_rank,fourier_condition,undefined_features
OGLE-GD-RRLYR-03009,9,1.6687552290097905,0
OGLE-GD-RRLYR-03030,9,1.9234431510903078,0
OGLE-GD-RRLYR-03049,9,1.9095062981342088,0
OGLE-GD-RRLYR-03090,9,1.5944128647544722,0
OGLE-GD-RRLYR-03095,9,1.9709467796543865,0
OGLE-GD-RRLYR-03100,9,1.6655337529397938,0
OGLE-GD-RRLYR-03132,9,1.6677409590367582,0
OGLE-GD-RRLYR-03139,9,1.7102513827718457,0
OGLE-GD-RRLYR-03151,9,1.6910786884341424,0
OGLE-GD-RRLYR-03160,9,1.6525100224255556,0
OGLE-GD-RRLYR-03162,9,2.078510034272069,0
OGLE-GD-RRLYR-03167,9,1.7123140022575705,0
OGLE-GD-RRLYR-03216,9,1.5744175345994733,0
OGLE-GD-RRLYR-03223,9,1.7051084539987462,0
OGLE-GD-RRLYR-03231,9,1.7035047902257774,0
OGLE-GD-RRLYR-03237,9,1.7504150821706792,0
OGLE-GD-RRLYR-03241,9,1.677862402472998,0
OGLE-GD-RRLYR-03251,9,1.7711714036564792,0
OGLE-GD-RRLYR-03253,9,1.762613111990188,0
OGLE-GD-RRLYR-03256,9,1.796282540322658,0
OGLE-GD-RRLYR-03263,9,1.6749336522027602,0
OGLE-GD-RRLYR-03265,9,1.74641984633826,0
OGLE-GD-RRLYR-03270,9,1.646162368159415,0
OGLE-GD-RRLYR-03279,9,1.7741877610406627,0
OGLE-GD-RRLYR-03290,9,1.6238175549969855,0
OGLE-GD-RRLYR-03291,9,2.739922873150728,0
OGLE-GD-RRLYR-03307,9,1.6259244904647754,0
OGLE-GD-RRLYR-03324,9,1.9560456024358341,0
OGLE-GD-RRLYR-03328,9,1.7915527046676851,0
OGLE-GD-RRLYR-03344,9,1.7376525183385756,0
OGLE-GD-RRLYR-03356,9,1.7857060028380431,0
OGLE-GD-RRLYR-03369,9,1.6062429671174767,0
OGLE-GD-RRLYR-03382,9,1.8970847267391642,0
OGLE-GD-RRLYR-03399,9,1.7216086374568298,0
OGLE-GD-RRLYR-03401,9,1.8740136921222406,0
OGLE-GD-RRLYR-03418,9,1.9781564989930294,0
OGLE-GD-RRLYR-03423,9,1.5760612967255134,0
OGLE-GD-RRLYR-03438,9,1.648324502642835,0
OGLE-GD-RRLYR-03443,9,1.7064359233363189,0
OGLE-GD-RRLYR-03467,9,1.6716070858280636,0
OGLE-GD-RRLYR-03470,9,1.690932272689718,0
OGLE-GD-RRLYR-03472,9,1.9155284140947555,0
OGLE-GD-RRLYR-03474,9,1.7491598618169526,0
OGLE-GD-RRLYR-03481,9,1.7707952839384897,0
OGLE-GD-RRLYR-03492,9,1.6503082485572642,0
OGLE-GD-RRLYR-03498,9,1.8628656670404002,0
OGLE-GD-RRLYR-03510,9,1.5963395505684739,0
OGLE-GD-RRLYR-03515,9,1.787631503218578,0
OGLE-GD-RRLYR-03520,9,2.0620703313840836,0
OGLE-GD-RRLYR-03521,9,1.7186963443874241,0
OGLE-GD-RRLYR-03554,9,1.8692665887715376,0
OGLE-GD-RRLYR-03557,9,1.6183818762680615,0
OGLE-GD-RRLYR-03573,9,1.9210257863123623,0
OGLE-GD-RRLYR-03583,9,1.7041299176509594,0
OGLE-GD-RRLYR-03588,9,1.8070515649569694,0
OGLE-GD-RRLYR-03605,9,1.6412368317515655,0
OGLE-GD-RRLYR-03609,9,1.8891471687630497,0
OGLE-GD-RRLYR-03625,9,1.7593915470634882,0
OGLE-GD-RRLYR-03634,9,1.663583525233433,0
OGLE-GD-RRLYR-03654,9,1.967987188573105,0
OGLE-GD-RRLYR-03655,9,1.8295247486522133,0
OGLE-GD-RRLYR-03685,9,1.874059868817025,0
OGLE-GD-RRLYR-03707,9,1.9072587562328454,0
OGLE-GD-RRLYR-03751,9,1.8066987119419127,0
OGLE-GD-RRLYR-03775,9,1.7535287080474824,0
OGLE-GD-RRLYR-03794,9,1.7707421151330567,0
OGLE-GD-RRLYR-03803,9,1.6940426799287585,0
OGLE-GD-RRLYR-03804,9,1.5365468286559676,0
OGLE-GD-RRLYR-03816,9,1.7396587561655914,0
OGLE-GD-RRLYR-03822,9,1.8157520887955194,0
OGLE-GD-RRLYR-03832,9,1.8144073347256666,0
OGLE-GD-RRLYR-03846,9,1.6225269517296705,0
OGLE-GD-RRLYR-03870,9,1.8395254980497233,0
OGLE-GD-RRLYR-03873,9,1.7613247356941288,0
OGLE-GD-RRLYR-03875,9,1.8574241074564968,0
OGLE-GD-RRLYR-03886,9,1.7659945934786268,0
OGLE-GD-RRLYR-03889,9,1.782081981736424,0
OGLE-GD-RRLYR-03910,9,1.757782679452456,0
OGLE-GD-RRLYR-03945,9,2.001953289803804,0
OGLE-GD-RRLYR-03948,9,1.6655768932711863,0
OGLE-GD-RRLYR-03955,9,1.8058845580416023,0
OGLE-GD-RRLYR-03967,9,1.6441261061894297,0
OGLE-GD-RRLYR-03970,9,1.7800312871831252,0
OGLE-GD-RRLYR-03980,9,1.8664055869308975,0
OGLE-GD-RRLYR-04020,9,1.712840304463766,0
OGLE-GD-RRLYR-04023,9,2.0867677946623773,0
OGLE-GD-RRLYR-04024,9,2.077773634287975,0
OGLE-GD-RRLYR-04027,9,1.941172479149176,0
OGLE-GD-RRLYR-04028,9,1.7830766769664435,0
OGLE-GD-RRLYR-04042,9,1.9470664934814053,0
OGLE-GD-RRLYR-04044,9,1.7091480435102,0
OGLE-GD-RRLYR-04060,9,1.7082509016826006,0
OGLE-GD-RRLYR-04087,9,2.347670351291507,0
OGLE-GD-RRLYR-04117,9,1.6592832202517875,0
OGLE-GD-RRLYR-04120,9,1.7249735398814516,0
OGLE-GD-RRLYR-04121,9,1.8798820572028454,0
OGLE-GD-RRLYR-04136,9,2.0736869454015676,0
OGLE-GD-RRLYR-04152,9,1.7914240415167855,0
OGLE-GD-RRLYR-04165,9,1.777558106467664,0
OGLE-GD-RRLYR-04178,9,1.9388110359595938,0
OGLE-GD-RRLYR-04181,9,2.0529951317686503,0
OGLE-GD-RRLYR-04188,9,1.7191043604323926,0
OGLE-GD-RRLYR-04189,9,1.676448199137143,0
OGLE-GD-RRLYR-04200,9,1.6775021845785518,0
OGLE-GD-RRLYR-04203,9,1.6357870386865525,0
OGLE-GD-RRLYR-04204,9,1.7872450244259093,0
OGLE-GD-RRLYR-04211,9,1.6513445588679934,0
OGLE-GD-RRLYR-04215,9,1.719488918478406,0
OGLE-GD-RRLYR-04244,9,1.608180140769592,0
OGLE-GD-RRLYR-04257,9,1.5806624181720412,0
OGLE-GD-RRLYR-04268,9,1.7456142260201537,0
OGLE-GD-RRLYR-04288,9,1.6302020582736159,0
OGLE-GD-RRLYR-04309,9,2.2960878196898,0
OGLE-GD-RRLYR-04313,9,1.8431828728060677,0
OGLE-GD-RRLYR-04315,9,1.7504712303506442,0
OGLE-GD-RRLYR-04318,9,1.7146897510026515,0
OGLE-GD-RRLYR-04323,9,1.7110235990401306,0
OGLE-GD-RRLYR-04335,9,2.0163061697728355,0
OGLE-GD-RRLYR-04342,9,1.8082833511858387,0
OGLE-GD-RRLYR-04351,9,1.8952964232683351,0
OGLE-GD-RRLYR-04371,9,1.8156541793644012,0
OGLE-GD-RRLYR-04388,9,2.090957833875907,0
OGLE-GD-RRLYR-04404,9,1.8770909355041336,0
OGLE-GD-RRLYR-04419,9,1.7394341737222263,0
OGLE-GD-RRLYR-04447,9,1.6796671124817992,0
OGLE-GD-RRLYR-04449,9,1.6834265332059861,0
OGLE-GD-RRLYR-04450,9,1.8516455659141982,0
OGLE-GD-RRLYR-04470,9,1.6492432961165826,0
OGLE-GD-RRLYR-04474,9,1.8870913111889622,0
OGLE-GD-RRLYR-04488,9,1.7263734560978827,0
OGLE-GD-RRLYR-04489,9,1.7645473356252743,0
OGLE-GD-RRLYR-04508,9,2.3699690615128746,0
OGLE-GD-RRLYR-04525,9,1.7237002211406922,0
OGLE-GD-RRLYR-04538,9,1.9436382394273497,0
OGLE-GD-RRLYR-04571,9,2.031768878917008,0
OGLE-GD-RRLYR-04576,9,1.5843412616015857,0
OGLE-GD-RRLYR-04625,9,1.8656204110820078,0
OGLE-GD-RRLYR-04637,9,1.6740624153852148,0
OGLE-GD-RRLYR-04639,9,1.6233512977090834,0
OGLE-GD-RRLYR-04674,9,1.7801065372203917,0
OGLE-GD-RRLYR-04677,9,2.038386940454648,0
OGLE-GD-RRLYR-04681,9,2.0184509464708564,0
OGLE-GD-RRLYR-04686,9,2.503136127438883,0
OGLE-GD-RRLYR-04698,9,1.5723248444533358,0
OGLE-GD-RRLYR-04712,9,2.094094353910775,0
OGLE-GD-RRLYR-04719,9,1.8176918464812828,0
OGLE-GD-RRLYR-04722,9,1.7059454136951815,0
OGLE-GD-RRLYR-04723,9,1.7852254088121011,0
OGLE-GD-RRLYR-04728,9,1.652819889204123,0
OGLE-GD-RRLYR-04745,9,1.5772271958530653,0
OGLE-GD-RRLYR-04754,9,1.8538733847930462,0
OGLE-GD-RRLYR-04771,9,1.7877337078179576,0
OGLE-GD-RRLYR-04772,9,1.6656937026991938,0
OGLE-GD-RRLYR-04803,9,1.8828317468674134,0
OGLE-GD-RRLYR-04820,9,1.6775875644272613,0
OGLE-GD-RRLYR-04825,9,1.603923705837937,0
OGLE-GD-RRLYR-04829,9,1.7853714967083667,0
OGLE-GD-RRLYR-04830,9,1.6769444045276138,0
OGLE-GD-RRLYR-04853,9,1.6746061943196078,0
OGLE-GD-RRLYR-04877,9,1.6579277170647193,0
OGLE-GD-RRLYR-04878,9,1.6736465720587017,0
OGLE-GD-RRLYR-04892,9,6.771521378536604,0
OGLE-GD-RRLYR-04907,9,2.0373501822416977,0
OGLE-GD-RRLYR-04935,9,1.8148175021093342,0
OGLE-GD-RRLYR-04945,9,1.6198380112387898,0
OGLE-GD-RRLYR-04960,9,1.6301472792806009,0
OGLE-GD-RRLYR-04975,9,1.8277945082365228,0
OGLE-GD-RRLYR-04983,9,1.8319200604732078,0
OGLE-GD-RRLYR-05011,9,1.6755210899101443,0
OGLE-GD-RRLYR-05018,9,2.0521670949043753,0
OGLE-GD-RRLYR-05049,9,1.7264686436047771,0
OGLE-GD-RRLYR-05065,9,1.8998004336273653,0
OGLE-GD-RRLYR-05102,9,1.846354772838856,0
OGLE-GD-RRLYR-05123,9,1.7532967049876753,0
OGLE-GD-RRLYR-05124,9,1.7348070836325278,0
OGLE-GD-RRLYR-05139,9,1.8181989665300038,0
OGLE-GD-RRLYR-05141,9,1.9037418441281095,0
OGLE-GD-RRLYR-05143,9,1.699185144655914,0
OGLE-GD-RRLYR-05144,9,1.7122554251802062,0
OGLE-GD-RRLYR-05158,9,2.059116408121682,0
OGLE-GD-RRLYR-05172,9,1.8908794474283896,0
OGLE-GD-RRLYR-05180,9,2.033687351777863,0
OGLE-GD-RRLYR-05188,9,1.8502806469351516,0
OGLE-GD-RRLYR-05219,9,1.8711333642558194,0
OGLE-GD-RRLYR-05229,9,1.9612698418512247,0
OGLE-GD-RRLYR-05236,9,1.6322395405399581,0
OGLE-GD-RRLYR-05257,9,1.872946543910282,0
OGLE-GD-RRLYR-05262,9,1.8998362093184302,0
OGLE-GD-RRLYR-05280,9,1.61191395282225,0
OGLE-GD-RRLYR-05284,9,1.9076158158411725,0
OGLE-GD-RRLYR-05287,9,1.814062022189332,0
OGLE-GD-RRLYR-05312,9,2.295978877471252,0
OGLE-GD-RRLYR-05314,9,1.7159471760068883,0
OGLE-GD-RRLYR-05322,9,1.6844972788174137,0
OGLE-GD-RRLYR-05331,9,1.8336991487072747,0
OGLE-GD-RRLYR-05339,9,1.6099244166777922,0
OGLE-GD-RRLYR-05348,9,1.7063153357177767,0
OGLE-GD-RRLYR-05365,9,1.5941764484262178,0
OGLE-GD-RRLYR-05367,9,1.8396483526312564,0
OGLE-GD-RRLYR-05384,9,1.9910146349905498,0
OGLE-GD-RRLYR-05425,9,1.6950354685096665,0
OGLE-GD-RRLYR-05433,9,2.2519177670405366,0
OGLE-GD-RRLYR-05438,9,1.8485900146605165,0
OGLE-GD-RRLYR-05446,9,1.7803403623134813,0
OGLE-GD-RRLYR-05451,9,1.8678104826896613,0
OGLE-GD-RRLYR-05454,9,1.97203814331122,0
OGLE-GD-RRLYR-05469,9,1.664974054883934,0
OGLE-GD-RRLYR-05471,9,1.8588758185209864,0
OGLE-GD-RRLYR-05476,9,1.970570923786279,0
OGLE-GD-RRLYR-05497,9,2.420091479491036,0
OGLE-GD-RRLYR-05509,9,1.6836423006017458,0
OGLE-GD-RRLYR-05524,9,1.817770956206224,0
OGLE-GD-RRLYR-05534,9,1.6536110239679356,0
OGLE-GD-RRLYR-05540,9,1.7849236246409066,0
OGLE-GD-RRLYR-05580,9,1.8463081122310356,0
OGLE-GD-RRLYR-05589,9,1.8966960634840968,0
OGLE-GD-RRLYR-05596,9,1.7867340770575213,0
OGLE-GD-RRLYR-05607,9,2.221667423837274,0
OGLE-GD-RRLYR-05611,9,1.686692705837571,0
OGLE-GD-RRLYR-05640,9,5.447093979155939,0
OGLE-GD-RRLYR-05654,9,1.572687135069363,0
OGLE-GD-RRLYR-05683,9,1.6311481020712044,0
OGLE-GD-RRLYR-05686,9,1.793989185666601,0
