representation,model,replicate,ari_stability_all,ari_stability_common_assigned,common_assigned_fraction,coverage,catalog_ari_subset
Classical full,HDBSCAN,7,0.9184773015831196,0.947618037976769,0.5525,0.55875,0.23186578657572612
JDR,K-medoids,8,0.842224969866114,0.842224969866114,1.0,1.0,0.3244012866871998
JDR,K-means,8,1.0,1.0,1.0,1.0,0.3141025676079197
JDR,Average linkage,8,0.8917162447252354,0.8917162447252354,1.0,1.0,0.6551986034696606
JDR,DBSCAN,8,0.8927061702079151,0.961941030631564,0.79625,0.83625,0.540246561305928
JDR,HDBSCAN,8,0.7106662043364574,0.8624062134501267,0.5475,0.55625,0.17249138714211987
Classical shape,K-medoids,8,0.8385338421349977,0.8385338421349977,1.0,1.0,0.29733397183897475
Classical shape,K-means,8,0.9531009378416466,0.9531009378416466,1.0,1.0,0.2981286154375652
Classical shape,Average linkage,8,0.4962308083736769,0.4962308083736769,1.0,1.0,0.0024724454771843625
Classical shape,DBSCAN,8,0.9395020992040605,,0.77625,0.78125,0.09185590754513046
Classical shape,HDBSCAN,8,0.8473034280142462,0.9917042287121012,0.44375,0.44875,0.10543620666178438
Classical full,K-medoids,8,0.4685341587901978,0.4685341587901978,1.0,1.0,0.41428258641038007
Classical full,K-means,8,0.9105335669264355,0.9105335669264355,1.0,1.0,0.4593924903685755
Classical full,Average linkage,8,0.7987940235682178,0.7987940235682178,1.0,1.0,0.0024724454771843625
Classical full,DBSCAN,8,0.9066415739955017,,0.77625,0.7825,0.08882197677792779
Classical full,HDBSCAN,8,0.8927537662975469,0.9908982672173606,0.56,0.5725,0.25692687739620546
JDR,K-medoids,9,0.9709328091007583,0.9709328091007583,1.0,1.0,0.2948956968591422
JDR,K-means,9,1.0,1.0,1.0,1.0,0.302442230815046
JDR,Average linkage,9,0.9228913947676203,0.9228913947676203,1.0,1.0,0.6686943628053458
JDR,DBSCAN,9,0.8767790023743561,0.9267071937594122,0.785,0.82375,0.5089284916979572
JDR,HDBSCAN,9,0.7062753343143717,0.9734515720466619,0.5975,0.68375,0.28494610713198953
Classical shape,K-medoids,9,0.7656257758487269,0.7656257758487269,1.0,1.0,0.28703127595455796
Classical shape,K-means,9,0.9545829428314823,0.9545829428314823,1.0,1.0,0.29345569631611645
Classical shape,Average linkage,9,0.9218814565380644,0.9218814565380644,1.0,1.0,0.01960641930191092
Classical shape,DBSCAN,9,0.9027452682001835,,0.76625,0.7825,0.08338826553225363
Classical shape,HDBSCAN,9,0.7749998472660012,1.0,0.47,0.5325,0.20140235112398291
Classical full,K-medoids,9,0.3492280064734912,0.3492280064734912,1.0,1.0,0.36929021827907094
Classical full,K-means,9,0.9599587018894589,0.9599587018894589,1.0,1.0,0.41627967554586043
Classical full,Average linkage,9,0.8559619412708482,0.8559619412708482,1.0,1.0,0.008984646078220436
Classical full,DBSCAN,9,0.8787623249614469,,0.77875,0.795,0.08965340643641938
Classical full,HDBSCAN,9,0.7838371865302292,1.0,0.5675,0.6375,0.33923483036416285
JDR,K-medoids,10,1.0,1.0,1.0,1.0,0.290354100005506
JDR,K-means,10,0.9969188980117781,0.9969188980117781,1.0,1.0,0.30279688230275476
JDR,Average linkage,10,0.6433020362109927,0.6433020362109927,1.0,1.0,0.4801135385437946
JDR,DBSCAN,10,0.8738848193583534,0.9198008004855754,0.78875,0.82125,0.513415467023617
JDR,HDBSCAN,10,0.5514311591523501,0.7679237470815014,0.6175,0.7425,0.4287363372939857
Classical shape,K-medoids,10,0.338948040390919,0.338948040390919,1.0,1.0,0.432956967475836
Classical shape,K-means,10,0.5307592461749848,0.5307592461749848,1.0,1.0,0.4173016967613953
Classical shape,Average linkage,10,1.0,1.0,1.0,1.0,0.029268963468489277
Classical shape,DBSCAN,10,0.8325830793875965,,0.7475,0.77125,0.0918604261358771
Classical shape,HDBSCAN,10,0.8888855795804584,1.0,0.47125,0.48625,0.14812868977155352
