object_id,region,catalog_type,catalog_period,catalog_epoch,catalog_secondary_period,period_mode,sha256,file,bytes,n_observations,baseline_days,has_errors
OGLE-LMC-RRLYR-07384,LMC,RRab,0.5324124,2167.46366,,fundamental,313d8be4910fc4329958e76245aad38b0f8fd542d1a96ea1232552694c2855e7,photometry/OGLE-LMC-RRLYR-07384.dat,8928,372,2373.75035,True
OGLE-LMC-RRLYR-07385,LMC,RRab,0.5592316,457.37831,,fundamental,64256f78cb2f31786f4b570e634e3e1a0f18c1be507b7141b7a9b163e7913fc3,photometry/OGLE-LMC-RRLYR-07385.dat,17304,721,4083.8198599999996,True
OGLE-LMC-RRLYR-07386,LMC,RRab,0.5430632,2167.6895,,fundamental,73058e664489fc946ffccf18b2ed93c270408cf0263fef52540e95dde792f726,photometry/OGLE-LMC-RRLYR-07386.dat,9144,381,2373.75054,True
OGLE-LMC-RRLYR-07387,LMC,RRab,0.6898274,2167.28226,,fundamental,d60f3565496dfa70ed0ec5d0f2159bd40966c9d1423c974af0c9a10d5e64cffd,photometry/OGLE-LMC-RRLYR-07387.dat,9000,375,2373.7504,True
OGLE-LMC-RRLYR-07388,LMC,RRab,0.5311199,299.96331,,fundamental,bb0a72a6222630835133bb4248cfc92a158d14a56db60c2106142efb3f198d34,photometry/OGLE-LMC-RRLYR-07388.dat,1560,65,2199.04064,True
OGLE-LMC-RRLYR-07389,LMC,RRab,0.5968656,457.27999,,fundamental,c04b14efd3b60ea810f18493459edcdfd7dd7db72365a319e640968577fcad47,photometry/OGLE-LMC-RRLYR-07389.dat,18432,768,4083.8265899999997,True
OGLE-LMC-RRLYR-07390,LMC,RRab,0.5184118,457.4886,,fundamental,2a5d1a18fa780c8c50fcf68a83851e0e910aff018233c350dd0cf98fcddf05a4,photometry/OGLE-LMC-RRLYR-07390.dat,18360,765,4083.8251,True
OGLE-LMC-RRLYR-07391,LMC,RRab,0.5414109,457.60925,,fundamental,f8e4e58f488ca731611a36a668a2e8919d6d9bea4056d382985c9446ecb19029,photometry/OGLE-LMC-RRLYR-07391.dat,18384,766,4083.82483,True
OGLE-LMC-RRLYR-07392,LMC,RRc,0.3051529,2167.81379,,first overtone,f5df8fa13806957c90e833762f01f9f2f4fc77454d9c5b3b9d8782d4238f7a75,photometry/OGLE-LMC-RRLYR-07392.dat,8592,358,2373.75016,True
OGLE-LMC-RRLYR-07393,LMC,RRab,0.7069738,2173.8336,,fundamental,b82dc18b939e8845e86f16909cf89303b3b7a487927f164878ea49d8ffcacfbf,photometry/OGLE-LMC-RRLYR-07393.dat,7680,320,2367.7428000000004,True
