object_id,region,catalog_type,catalog_period,catalog_epoch,catalog_secondary_period,period_mode,sha256,file,bytes,n_observations,baseline_days,has_errors,eligible,exclusion_reason
OGLE-LMC-RRLYR-13181,LMC,RRab,0.46932,455.29671,,fundamental,d19e50b3102044e6a24619737f2892fcc58671fba056f92221016249aafa9247,photometry/OGLE-LMC-RRLYR-13181.dat,28752,1198,4085.9765600000005,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13183,LMC,RRe,0.2290759,455.63645,,catalog RRe,cad5b7645b041609b5f37db85a5293a08d4a8022b931b7a05cb84c267ae6c25a,photometry/OGLE-LMC-RRLYR-13183.dat,36480,1520,4085.98494,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13184,LMC,RRe,0.27427,831.51928,,catalog RRe,91846e5470b27c564e742c697f9a1b4bc811cd5f5edc69176892ce74aa494a0e,photometry/OGLE-LMC-RRLYR-13184.dat,24864,1036,3710.0175499999996,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13196,LMC,RRab,0.66224,831.12888,,fundamental,94c394c8d735f2bb0567d4063e935b109cf6e5c83a3a2c2591d772f5f2657a47,photometry/OGLE-LMC-RRLYR-13196.dat,27408,1142,3710.01925,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13209,LMC,RRab,0.49628,831.34753,,fundamental,685deb5ce25034666bb45110d3bc3f0eb60eff811f38a36932725f54a4ed0ea1,photometry/OGLE-LMC-RRLYR-13209.dat,19944,831,3710.0167699999997,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13213,LMC,RRc,0.34461,831.60971,,first overtone,42f9639b65ac04942d5368277a19c1453cfec34e64d1b50ac45e850388d73e8b,photometry/OGLE-LMC-RRLYR-13213.dat,14760,615,3709.99165,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13216,LMC,RRab,0.4631202,831.30934,,fundamental,b7d6543af16266a53cc8814f6d265415d0b9e4c7447f57f57361fb06356e4438,photometry/OGLE-LMC-RRLYR-13216.dat,23856,994,3710.0181599999996,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13235,LMC,RRab,0.5466924,455.5323,,fundamental,48f5246d11f5a1243ccfdea342a112247fd867428542383afe775c99f17ce7cd,photometry/OGLE-LMC-RRLYR-13235.dat,31464,1311,4085.98523,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13254,LMC,RRab,0.538845,2161.60995,,fundamental,494bd4c2627fabe951d4a80a598714de5392e86adce241f798572e1c25c48545,photometry/OGLE-LMC-RRLYR-13254.dat,15240,635,2379.7844200000004,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13257,LMC,RRab,0.507202,455.51178,,fundamental,9de13b13b3087ac3a6499c290ccc6ce46a8b5875d0ff0abc279740fe6ac0d7b8,photometry/OGLE-LMC-RRLYR-13257.dat,27336,1139,4085.9827699999996,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13291,LMC,RRab,0.53413,455.55225,,fundamental,5f0959b7a8062c2d541947b9865d92035e2255e98425104e9fb77406a7bca621,photometry/OGLE-LMC-RRLYR-13291.dat,20976,874,4085.9841899999997,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13298,LMC,RRab,0.5005575,2167.84211,,fundamental,229e28c2f76d3fb6e759b31b50d9080e5dacd2a405128df523684027f2d8afc2,photometry/OGLE-LMC-RRLYR-13298.dat,8664,361,2373.77949,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13345,LMC,RRab,0.556616,455.38585,,fundamental,a4e7665ad88a92ddbb1207a51409478d92a7f6961bb4afab45a1f80827af58b1,photometry/OGLE-LMC-RRLYR-13345.dat,20928,872,4085.9833799999997,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13434,LMC,RRab,0.533844,455.56885,,fundamental,103cfdcdeb9d6f8370faacae6ef88219da9c5936f07bfc4c9266396cd366aaf1,photometry/OGLE-LMC-RRLYR-13434.dat,20976,874,4085.98297,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13444,LMC,RRab,0.564393,2167.58598,,fundamental,6bf789e461c56c5954959beb8a0c2068cc5f119221b94781f72c31d200059b48,photometry/OGLE-LMC-RRLYR-13444.dat,8832,368,2373.7800699999993,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13495,LMC,RRab,0.705304,455.61499,,fundamental,664870a86598e5fcaf9092a07e474bff5d65fa8243269ded76a2c37d41dad19d,photometry/OGLE-LMC-RRLYR-13495.dat,21048,877,4085.9840299999996,True,False,Exact duplicate folded phases
